2025-12-16 16:20:29 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:20:29 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:20:29 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:21:39 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:21:39 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:21:39 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:21:51 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:21:51 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:21:51 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:21:58 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:21:58 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:21:58 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:22:06 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:22:06 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:22:06 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:22:36 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:22:36 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:22:36 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
